                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6744,                 2.2419,                  1.982,                 1.4928,                0.52045,                 0.3919,                0.38079,                0.20821,                0.54117,                0.36135,                0.38735,                0.20159,                  1.867,                  2.415,                 1.8745,                 1.6451,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.7006,                 2.2315,                 1.9157,                 1.4527,                0.71857,                0.29196,                0.42299,                0.24512,                0.72407,                0.29672,                0.42034,                0.23785,                 1.7914,                 2.3866,                 1.9576,                 1.5476,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.6846,                 2.2468,                 1.9224,                 1.4591,                0.60482,                 0.3361,                0.33477,                0.17762,                0.63314,                0.28995,                0.33884,                0.16697,                 1.8687,                 2.3649,                 2.0816,                 1.6606,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.7016,                 2.2619,                 1.8938,                 1.4566,                0.38805,                0.51554,                0.38838,                0.20859,                 0.5372,                 0.4042,                0.39717,                0.20392,                 1.7695,                 2.3591,                 1.8198,                 1.5835,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.6668,                 2.2552,                 1.8419,                 1.4605,                0.31773,                0.48773,                0.37556,                0.21085,                0.31524,                0.49376,                0.38073,                0.20921,                 1.8086,                 2.3713,                 1.8976,                 1.6024,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.6777,                  2.187,                 1.8634,                 1.4526,                0.70065,                0.28995,                0.35338,                0.20557,                 0.7056,                0.29724,                0.36405,                0.20053,                 1.8508,                 2.3559,                 2.0091,                 1.6087,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.6621,                  2.209,                 1.8343,                 1.4473,                0.49922,                0.37751,                0.38371,                0.21168,                0.50892,                0.38065,                0.36784,                0.20353,                 1.7976,                 2.4066,                 1.9301,                 1.6116,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.6676,                 2.1876,                 1.8275,                 1.4339,                0.39724,                0.32011,                0.35872,                0.20126,                0.39495,                0.32121,                0.35992,                0.19266,                 1.8906,                 2.4743,                 1.9892,                 1.6611,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.6387,                 2.1414,                 1.7775,                 1.4371,                0.48273,                0.41554,                0.42305,                0.23146,                0.47348,                0.40351,                0.42027,                 0.2231,                 1.8852,                 2.3851,                 2.0181,                 1.6579,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.6231,                 2.1439,                 1.7436,                 1.4278,                0.40568,                0.40505,                 0.4262,                0.23944,                0.50588,                 0.3338,                0.42371,                0.22982,                 1.8873,                  2.576,                 1.9238,                 1.6418,              0.0004878,              0.0004878,              0.0004878
